Timestamp,Year.,Branch,at what time do you usually go to sleep? (be honest),at what time do you usually wake up? (be honest)
6/12/2022 20:45:08,2nd,AIML,23:30,08:00
6/12/2022 20:45:55,2nd,ECE,23:00,05:30
6/12/2022 20:47:53,2nd,ECE,23:00,05:30
6/12/2022 20:48:26,2nd,ECE,22:00,05:30
6/12/2022 20:50:08,2nd,ISE,00:00,07:30
6/12/2022 20:50:31,4th,EEE,23:00,06:00
6/12/2022 20:51:31,3rd,ISE,03:30,09:00
6/12/2022 20:52:35,1st,ISE,22:00,09:00
6/12/2022 20:53:05,1st,Mech,02:00,08:30
6/12/2022 20:53:41,2nd,ECE,23:00,06:00
6/12/2022 20:56:56,3rd,ECE,22:30,05:00
6/12/2022 20:57:28,3rd,ISE,01:30,08:30
6/12/2022 21:00:17,1st,CSE,02:00,11:00
6/12/2022 21:00:58,1st,Civil,01:00,08:30
6/12/2022 21:04:11,2nd,ECE,22:30,06:30
6/12/2022 21:05:46,1st,ECE,00:30,08:15
6/12/2022 21:09:11,2nd,ECE,23:45,05:30
6/12/2022 21:11:32,1st,CSE,03:00,09:30
6/12/2022 21:12:17,2nd,CSE,23:00,08:00
6/12/2022 21:13:48,1st,Civil,02:30,13:00
6/12/2022 21:14:51,4th,CSE,02:30,10:30
6/12/2022 21:17:00,1st,AIML,23:30,07:00
6/12/2022 21:20:29,1st,CSE,02:00,08:30
6/12/2022 21:20:33,2nd,ECE,23:30,07:00
6/12/2022 21:21:18,1st,AIML,00:00,08:00
6/12/2022 21:22:29,2nd,ECE,22:30,06:00
6/12/2022 21:44:29,3rd,ISE,00:00,08:30
6/12/2022 21:46:53,2nd,CSE,00:15,08:40
6/12/2022 21:51:49,1st,AIML,23:30,08:30
6/12/2022 22:02:25,1st,CSE,03:00,07:15
6/12/2022 22:20:59,1st,AIML,03:00,11:00
6/12/2022 22:23:24,1st,ECE,02:00,08:00
6/12/2022 22:23:43,1st,CSE,02:00,09:00
6/12/2022 22:26:08,1st,ECE,22:30,05:30
6/12/2022 22:34:20,1st,ECE,00:00,06:30
6/12/2022 22:54:28,1st,ECE,23:30,07:00
6/12/2022 23:36:05,4th,ECE,06:09,04:20
6/13/2022 7:06:48,4th,Mech,00:00,08:00
6/13/2022 10:42:02,4th,CSE,00:00,09:30
6/13/2022 11:54:37,1st,EEE,00:00,08:00
6/13/2022 11:55:10,3rd,ISE,00:01,07:30
6/13/2022 12:21:04,3rd,CSE,00:30,08:30
6/13/2022 12:34:08,1st,ISE,00:30,07:30
6/13/2022 13:34:37,3rd,ECE,22:00,06:00
