Timestamp,Year.,Branch,at what time do you usually go to sleep? (be honest),at what time do you usually wake up? (be honest)
6/12/2022 19:44:54,3rd,ECE,2:00:00 AM,8:00:00 AM
6/12/2022 19:46:50,1st,ISE,2:00:00 AM,9:00:00 AM
6/12/2022 19:47:02,2nd,ISE,12:00:00 AM,7:00:00 AM
6/12/2022 19:47:34,2nd,CSE,11:00:00 AM,6:25:00 AM
6/12/2022 19:48:09,4th,ISE,10:30:00 PM,7:00:00 AM
6/12/2022 19:48:15,2nd,ECE,11:30:00 AM,5:00:00 AM
6/12/2022 19:48:41,3rd,CSE,10:00:00 AM,4:30:00 AM
6/12/2022 19:51:06,3rd,ECE,1:00:00 AM,8:30:00 AM
6/12/2022 19:52:31,3rd,ISE,10:20:00 PM,7:00:00 AM
6/12/2022 19:54:42,2nd,ECE,2:30:00 AM,8:20:00 AM
6/12/2022 19:54:50,1st,ECE,11:45:00 PM,7:45:00 AM
6/12/2022 19:55:29,4th,AIML,12:00:00 AM,9:45:00 AM
6/12/2022 19:55:43,3rd,ECE,11:15:00 PM,6:00:00 AM
6/12/2022 19:56:30,1st,ISE,12:00:00 AM,6:30:00 AM
6/12/2022 19:59:20,1st,ECE,11:00:00 PM,6:00:00 AM
6/12/2022 20:01:20,3rd,ECE,12:00:00 PM,8:00:00 AM
6/12/2022 20:06:12,2nd,ECE,10:30:00 AM,7:00:00 AM
6/12/2022 20:07:08,2nd,ECE,12:00:00 PM,8:00:00 AM
6/12/2022 20:08:16,3rd,ISE,10:30:00 AM,6:00:00 AM
6/12/2022 20:10:17,2nd,ISE,11:30:00 PM,7:30:00 AM
6/12/2022 20:14:52,2nd,CSE,1:00:00 AM,7:00:00 AM
6/12/2022 20:15:41,1st,Civil,9:00:00 AM,1:00:00 AM
6/12/2022 20:19:25,2nd,ISE,11:30:00 AM,7:00:00 AM
6/12/2022 20:19:36,4th,Mech,12:08:00 PM,10:00:00 AM
6/12/2022 20:24:39,2nd,CSE,3:30:00 AM,9:00:00 AM
6/12/2022 20:36:56,2nd,ECE,11:00:00 AM,5:45:00 AM
6/12/2022 20:44:12,2nd,ECE,1:00:00 AM,7:00:00 AM
6/12/2022 20:44:38,2nd,ECE,1:00:00 AM,7:00:00 AM
6/12/2022 20:44:59,2nd,ECE,1:00:00 AM,7:00:00 AM
6/12/2022 20:45:08,2nd,AIML,11:30:00 PM,8:00:00 AM
6/12/2022 20:45:55,2nd,ECE,11:00:00 PM,5:30:00 AM
6/12/2022 20:47:53,2nd,ECE,11:00:00 AM,5:30:00 AM
6/12/2022 20:48:26,2nd,ECE,10:00:00 AM,5:30:00 AM
6/12/2022 20:50:08,2nd,ISE,12:00:00 AM,7:30:00 AM
6/12/2022 20:50:31,4th,EEE,11:00:00 AM,6:00:00 AM
6/12/2022 20:51:31,3rd,ISE,3:30:00 AM,9:00:00 AM
6/12/2022 20:52:35,1st,ISE,10:00:00 PM,9:00:00 AM
6/12/2022 20:53:05,1st,Mech,2:00:00 AM,8:30:00 AM
6/12/2022 20:53:41,2nd,ECE,11:00:00 PM,6:00:00 AM
6/12/2022 20:56:56,3rd,ECE,10:30:00 PM,5:00:00 AM
6/12/2022 20:57:28,3rd,ISE,1:30:00 AM,8:30:00 AM
6/12/2022 21:00:17,1st,CSE,2:00:00 AM,11:00:00 AM
6/12/2022 21:00:58,1st,Civil,1:00:00 AM,8:30:00 AM
6/12/2022 21:04:11,2nd,ECE,10:30:00 AM,6:30:00 AM
6/12/2022 21:05:46,1st,ECE,12:30:00 PM,8:15:00 AM
6/12/2022 21:09:11,2nd,ECE,11:45:00 AM,5:30:00 AM
6/12/2022 21:11:32,1st,CSE,3:00:00 AM,9:30:00 AM
6/12/2022 21:12:17,2nd,CSE,11:00:00 AM,8:00:00 AM
6/12/2022 21:13:48,1st,Civil,2:30:00 AM,1:00:00 PM
6/12/2022 21:14:51,4th,CSE,2:30:00 AM,10:30:00 AM
6/12/2022 21:17:00,1st,AIML,11:30:00 AM,7:00:00 AM
6/12/2022 21:20:29,1st,CSE,2:00:00 AM,8:30:00 AM
6/12/2022 21:20:33,2nd,ECE,11:30:00 PM,7:00:00 AM
6/12/2022 21:21:18,1st,AIML,12:00:00 AM,8:00:00 AM
6/12/2022 21:22:29,2nd,ECE,10:30:00 PM,6:00:00 AM
6/12/2022 21:44:29,3rd,ISE,12:00:00 PM,8:30:00 AM
6/12/2022 21:46:53,2nd,CSE,12:15:00 AM,8:40:00 AM
6/12/2022 21:51:49,1st,AIML,11:30:00 PM,8:30:00 AM
6/12/2022 22:02:25,1st,CSE,3:00:00 AM,7:15:00 AM
6/12/2022 22:20:59,1st,AIML,3:00:00 AM,11:00:00 AM
6/12/2022 22:23:24,1st,ECE,2:00:00 AM,8:00:00 AM
6/12/2022 22:23:43,1st,CSE,2:00:00 AM,9:00:00 AM
6/12/2022 22:26:08,1st,ECE,10:30:00 AM,5:30:00 AM
6/12/2022 22:34:20,1st,ECE,12:00:00 AM,6:30:00 AM
6/12/2022 22:54:28,1st,ECE,11:30:00 PM,7:00:00 AM
6/12/2022 23:36:05,4th,ECE,6:09:00 PM,4:20:00 AM
6/13/2022 7:06:48,4th,Mech,12:00:00 PM,8:00:00 AM
6/13/2022 10:42:02,4th,CSE,12:00:00 AM,9:30:00 AM
6/13/2022 11:54:37,1st,EEE,12:00:00 PM,8:00:00 AM
6/13/2022 11:55:10,3rd,ISE,12:01:00 AM,7:30:00 AM
6/13/2022 12:21:04,3rd,CSE,12:30:00 AM,8:30:00 AM
6/13/2022 12:34:08,1st,ISE,12:30:00 AM,7:30:00 AM
6/13/2022 13:34:37,3rd,ECE,10:00:00 PM,6:00:00 AM
